event_id,zone_id,latitude,longitude,temperature,humidity,rainfall,animal_density_score,distance_to_road,distance_to_water,distance_to_ranger_station,elevation,hour,month,season,species,historical_incident_count,acoustic_risk,poaching_incident
evt_aa8d0751,ZONE_B03,-2.26164,35.04251,21.4,56.3,2.2,37,4369.5,18793.0,29473.5,1376.7,7,1,Short Dry,Buffalo,3,0.16,0
evt_4a5d050e,ZONE_B04,-2.26236,35.22822,21.9,51.3,0.0,32,4246.5,7610.2,38654.4,1350.6,7,1,Short Dry,Zebra,1,0.23,0
evt_1cd980d3,ZONE_B04,-2.27066,35.20952,24.4,55.3,0.0,30,3305.4,7927.6,38049.8,1359.6,7,1,Short Dry,Zebra,1,0.27,0
evt_0a9fed78,ZONE_D02,-1.7986,34.74015,26.8,42.8,0.0,41,4539.6,6654.1,36544.8,1413.3,9,1,Short Dry,Zebra,1,0.15,0
evt_7475d556,ZONE_E02,-1.64164,34.82596,25.1,48.6,0.0,34,14000.9,17843.5,44294.2,1333.6,10,1,Short Dry,Buffalo,7,0.14,0
evt_da411145,ZONE_A04,-2.37753,35.10343,27.9,42.4,0.0,38,8676.8,22468.3,43524.4,1352.5,11,1,Short Dry,Buffalo,0,0.21,0
evt_24bc61b2,ZONE_A04,-2.32563,35.19094,27.7,42.2,0.0,27,2869.0,14006.1,41966.7,1335.5,11,1,Short Dry,Buffalo,0,0.28,0
evt_e492f4f3,ZONE_B04,-2.2759,35.14632,29.2,44.3,0.0,33,2782.3,10334.4,34720.9,1410.8,12,1,Short Dry,Elephant,1,0.24,0
evt_43855100,ZONE_B03,-2.29093,35.04145,29.7,41.8,0.0,26,1465.8,20311.9,32676.0,1423.5,12,1,Short Dry,Lion,3,0.34,0
evt_b570395b,ZONE_B01,-2.27145,34.67495,27.4,37.2,0.0,29,2819.1,20804.2,16543.0,1362.3,13,1,Short Dry,Lion,29,0.22,0
evt_5624f7bc,ZONE_C02,-1.98336,34.76083,27.4,43.3,0.0,36,6797.6,20848.7,26642.8,1409.0,16,1,Short Dry,Elephant,6,0.18,0
evt_ce2c2d4b,ZONE_E03,-1.53458,35.05829,27.1,43.2,0.0,40,39832.1,41173.1,38672.1,1303.9,17,1,Short Dry,Buffalo,6,0.17,0
evt_70958d6e,ZONE_A02,-2.31129,34.77887,25.1,45.1,0.0,23,1467.9,30773.5,22186.1,1326.3,19,1,Short Dry,Zebra,26,0.24,1
evt_18ca443a,ZONE_E05,-1.65334,35.35632,22.2,52.9,0.0,35,71905.5,63219.8,7664.4,1338.5,21,1,Short Dry,Elephant,14,0.38,0
evt_79cb395a,ZONE_D02,-1.834,34.81161,21.4,56.3,0.3,49,12432.2,3995.0,27911.0,1399.7,22,1,Short Dry,Zebra,1,0.34,0
evt_859a8c39,ZONE_B04,-2.2573,35.18943,21.4,59.8,0.0,36,4773.7,6478.8,35519.3,1405.5,0,1,Short Dry,Zebra,1,0.34,1
evt_0ab09bbb,ZONE_D02,-1.79126,34.73916,18.5,56.2,0.0,41,4395.4,6831.6,37136.0,1347.9,0,1,Short Dry,Elephant,1,0.38,1
evt_e3020270,ZONE_D02,-1.84804,34.72427,19.7,58.3,0.0,25,2700.0,9968.6,34992.7,1375.8,1,1,Short Dry,Zebra,1,0.35,1
evt_886c9be0,ZONE_B02,-2.26275,34.8254,19.1,63.6,0.0,31,4143.8,30899.2,29326.4,1368.1,1,1,Short Dry,Zebra,22,0.4,1
evt_df698654,ZONE_D05,-1.85037,35.34922,19.9,58.1,0.0,37,50004.6,42266.2,28405.8,1333.3,1,1,Short Dry,Lion,16,0.34,0
evt_954f13e0,ZONE_C01,-1.93169,34.59367,16.9,60.3,0.0,34,11821.2,18728.3,45789.1,1290.4,1,1,Short Dry,Zebra,1,0.32,0
evt_c07a59b3,ZONE_C03,-1.97302,34.92509,17.1,57.2,0.0,33,25016.8,23735.7,8849.2,1488.1,2,1,Short Dry,Zebra,3,0.29,0
evt_d50bcfd6,ZONE_C05,-2.01326,35.4061,19.2,58.0,0.0,34,31897.1,30913.8,45152.5,1378.7,3,1,Short Dry,Elephant,7,0.3,0
evt_18a3f774,ZONE_E02,-1.66328,34.80469,20.0,58.1,4.9,39,11635.9,15211.6,43278.8,1326.1,4,1,Short Dry,Zebra,7,0.32,0
evt_d255757f,ZONE_D02,-1.80023,34.72146,22.4,59.3,0.0,30,2473.2,8729.0,38100.4,1389.9,4,1,Short Dry,Zebra,1,0.37,1
evt_1568839c,ZONE_D02,-1.88916,34.78784,19.4,58.3,0.0,34,9763.7,10006.1,26604.1,1420.3,5,1,Short Dry,Zebra,1,0.22,0
evt_181a206c,ZONE_D05,-1.75228,35.45307,20.3,56.9,0.0,37,60907.3,57178.5,17930.9,1299.7,5,1,Short Dry,Zebra,16,0.28,0
evt_5d7a964f,ZONE_A04,-2.32262,35.13885,20.5,53.5,0.0,29,2608.2,15234.0,39051.1,1353.5,6,1,Short Dry,Buffalo,0,0.24,0
evt_a128cfa1,ZONE_C03,-2.00556,34.91255,19.0,56.0,4.5,36,23625.2,26055.6,9738.1,1518.8,6,1,Short Dry,Zebra,3,0.23,0
evt_06d976c3,ZONE_B04,-2.29134,35.11927,29.5,43.9,0.0,21,1239.2,13550.8,35001.5,1402.1,10,1,Short Dry,Zebra,1,0.27,1
evt_29d5fc7c,ZONE_B03,-2.29709,35.04285,26.7,37.2,0.0,15,963.6,20528.6,33376.2,1352.0,11,1,Short Dry,None Detected,3,0.39,0
evt_2bb1ead9,ZONE_D04,-1.75923,35.19702,29.6,40.8,0.0,36,55243.6,44357.1,28679.2,1381.8,12,1,Short Dry,Zebra,11,0.25,0
evt_378b6171,ZONE_B02,-2.14051,34.79359,27.7,40.9,0.0,34,10436.3,21978.2,27752.3,1425.8,12,1,Short Dry,Zebra,22,0.21,0
evt_eb9f1bbd,ZONE_E05,-1.68989,35.36707,29.4,37.0,11.5,34,67850.5,59683.5,10643.9,1342.6,13,1,Short Dry,Zebra,14,0.17,0
evt_8956813d,ZONE_C03,-1.98866,35.00152,28.1,38.8,0.0,32,33507.1,30685.8,1272.4,1619.0,14,1,Short Dry,Zebra,3,0.13,0
evt_9fcea674,ZONE_D04,-1.85004,35.20197,29.2,43.1,0.0,32,50041.8,38914.8,27961.4,1407.8,15,1,Short Dry,Zebra,11,0.26,0
evt_ceaa612f,ZONE_E02,-1.60999,34.838,26.8,43.8,0.0,38,15363.8,21545.5,46955.8,1297.1,17,1,Short Dry,Zebra,7,0.24,0
evt_8f97f327,ZONE_B03,-2.20552,35.06621,27.7,43.8,0.0,35,10521.4,14878.5,24008.2,1445.3,17,1,Short Dry,Buffalo,3,0.13,0
evt_480f2550,ZONE_A04,-2.38942,35.11787,30.1,45.2,0.0,31,9963.2,22955.0,45239.2,1341.1,17,1,Short Dry,Buffalo,0,0.18,0
evt_2f8b6398,ZONE_B03,-2.28228,35.00598,26.7,38.1,0.0,21,2025.5,23418.2,31395.0,1433.6,17,1,Short Dry,Buffalo,3,0.27,0
evt_0805e3f9,ZONE_D02,-1.73948,34.79244,25.8,46.0,0.0,36,10291.6,6781.8,37030.8,1379.9,19,1,Short Dry,Buffalo,1,0.18,0
evt_03a90f16,ZONE_B04,-2.1928,35.1317,22.2,53.3,0.0,38,11920.3,7631.6,25957.2,1459.6,20,1,Short Dry,Zebra,1,0.34,0
evt_78c89232,ZONE_E03,-1.52415,35.0163,24.0,47.5,0.0,36,35161.0,38972.3,43475.6,1305.9,20,1,Short Dry,Elephant,6,0.36,0
evt_f02207a8,ZONE_D02,-1.8654,34.70047,24.2,51.4,0.0,9,223.2,13237.7,36497.4,1412.4,20,1,Short Dry,None Detected,1,0.59,0
evt_fde83ec9,ZONE_B01,-2.24914,34.68433,23.3,44.6,0.0,25,1862.7,19048.0,19214.3,1351.1,20,1,Short Dry,Buffalo,29,0.46,0
evt_16d246f2,ZONE_C03,-2.03859,35.08307,21.4,53.1,1.5,31,29083.7,22157.6,10179.3,1530.7,21,1,Short Dry,Lion,3,0.4,0
evt_fa8f416f,ZONE_D02,-1.87744,34.78284,21.1,57.6,0.0,32,9275.0,8819.7,27714.9,1362.9,22,1,Short Dry,Zebra,1,0.28,0
evt_6a6a3e8d,ZONE_D02,-1.86304,34.84589,20.2,59.4,0.0,40,16221.0,8669.4,22917.7,1472.2,23,1,Short Dry,Elephant,1,0.3,0
evt_96fbb351,ZONE_D03,-1.7621,35.05435,20.8,61.7,3.6,37,39385.3,28581.6,27133.9,1411.8,1,1,Short Dry,Buffalo,1,0.37,0
evt_6a3ded3d,ZONE_C02,-2.0804,34.74773,20.2,57.9,12.5,36,5397.0,16560.0,29424.3,1421.2,1,1,Short Dry,Buffalo,6,0.38,0
evt_65e3b614,ZONE_D02,-1.81697,34.75924,18.1,62.9,0.0,39,6668.8,4907.7,33617.5,1378.0,1,1,Short Dry,Elephant,1,0.33,0
evt_434f8331,ZONE_C03,-2.01187,35.0936,16.7,63.4,0.0,33,32039.2,24029.1,10484.9,1550.5,3,1,Short Dry,Buffalo,3,0.41,0
evt_0910d5dd,ZONE_D02,-1.86475,34.79474,15.3,59.5,0.0,38,10533.4,7223.2,27322.2,1423.2,4,1,Short Dry,Zebra,1,0.4,0
evt_d1265bcf,ZONE_C03,-2.01622,35.02623,17.6,58.5,0.0,37,31558.7,28115.0,3427.7,1574.7,4,1,Short Dry,Rhino,3,0.35,0
evt_3f2372e0,ZONE_C03,-1.94184,35.00051,21.9,56.8,0.0,35,33405.5,27300.8,6467.1,1602.7,6,1,Short Dry,Zebra,3,0.23,0
evt_6c16da41,ZONE_A01,-2.33707,34.57057,20.0,57.5,0.0,33,4250.2,26562.6,7724.2,1227.4,6,1,Short Dry,Elephant,18,0.2,0
evt_38dcf2fa,ZONE_A03,-2.47349,35.08578,22.5,52.8,20.9,32,19302.8,32952.3,53505.2,1307.8,7,1,Short Dry,Buffalo,6,0.14,0
evt_164d7f2e,ZONE_C02,-1.92453,34.88817,24.7,56.6,0.0,35,20916.6,16963.1,14995.9,1480.8,8,1,Short Dry,Zebra,6,0.14,0
evt_290a4197,ZONE_C03,-2.04175,35.04562,24.1,46.1,0.0,38,28722.7,24575.2,6873.5,1517.9,8,1,Short Dry,Buffalo,3,0.18,0
evt_c09a3a3e,ZONE_B05,-2.1139,35.46119,24.0,48.8,0.0,35,20694.9,30560.9,52790.7,1331.9,8,1,Short Dry,Buffalo,5,0.26,0
evt_03a28b87,ZONE_A01,-2.30421,34.56936,23.5,48.6,0.0,17,1018.0,22960.8,11182.2,1266.9,8,1,Short Dry,None Detected,18,0.3,0
evt_2cade4ca,ZONE_B03,-2.29449,35.0785,24.6,44.2,0.0,19,996.6,17106.4,33887.1,1347.8,9,1,Short Dry,Lion,3,0.38,0
evt_b159b089,ZONE_B03,-2.25575,35.07677,25.8,45.4,0.0,36,4956.0,15029.8,29690.2,1418.3,9,1,Short Dry,Zebra,3,0.25,0
evt_324439ac,ZONE_A03,-2.30142,35.01418,26.3,45.9,0.0,12,469.0,23525.7,33553.5,1360.7,9,1,Short Dry,None Detected,6,0.38,0
evt_7090cbe8,ZONE_B05,-2.15166,35.43665,29.1,37.5,0.0,36,16496.0,26838.8,51368.3,1341.3,12,1,Short Dry,Lion,5,0.26,0
evt_04911e38,ZONE_D02,-1.83149,34.84384,29.1,36.5,0.0,45,15995.4,5999.5,25540.2,1407.3,12,1,Short Dry,Zebra,1,0.18,0
evt_b8a751f3,ZONE_D02,-1.70648,34.8844,29.9,40.0,0.0,34,20497.1,14004.8,35075.6,1356.7,12,1,Short Dry,Zebra,1,0.13,0
evt_769b72ed,ZONE_A02,-2.37231,34.75002,30.6,38.8,0.0,29,5587.3,34564.2,16948.6,1300.7,14,1,Short Dry,Zebra,26,0.22,0
evt_916d771f,ZONE_C03,-1.92236,34.97802,32.1,35.9,0.0,36,30905.1,24011.5,8972.3,1498.4,14,1,Short Dry,Zebra,3,0.26,0
evt_9275cfb6,ZONE_A05,-2.39688,35.40255,28.4,34.0,0.0,30,10784.2,31396.0,62834.5,1284.5,14,1,Short Dry,Zebra,7,0.16,0
evt_2d4089ad,ZONE_D02,-1.7659,34.78449,28.8,41.9,0.0,43,9390.3,4165.1,35372.8,1356.6,14,1,Short Dry,Zebra,1,0.14,0
evt_4e0a015b,ZONE_D02,-1.78379,34.79349,30.0,42.8,0.0,58,10393.1,1942.0,33236.8,1385.7,14,1,Short Dry,Zebra,1,0.3,0
evt_61eab4d4,ZONE_C04,-1.92656,35.13184,26.7,42.2,0.0,32,41524.5,31334.2,16773.0,1418.5,17,1,Short Dry,Elephant,6,0.17,0
evt_4387ace2,ZONE_C04,-1.94382,35.10716,29.2,44.5,0.0,39,39609.1,30296.2,13447.5,1470.2,18,1,Short Dry,Zebra,6,0.22,0
evt_20ad9cda,ZONE_D02,-1.76879,34.83142,27.0,47.0,0.0,46,14611.1,4922.7,31811.4,1433.1,19,1,Short Dry,Lion,1,0.18,0
evt_33422424,ZONE_B04,-2.20932,35.12023,22.5,62.7,,35,10122.5,8923.9,26836.7,1381.0,21,1,Short Dry,Buffalo,1,0.36,0
evt_eae9fbc9,ZONE_D05,-1.81197,35.33696,22.1,51.7,0.0,39,54266.5,45752.8,24589.2,1332.5,22,1,Short Dry,Elephant,16,0.37,0
evt_cae16ad9,ZONE_E03,-1.66152,34.92609,19.0,55.3,0.0,37,25130.4,20820.9,38523.2,1405.4,22,1,Short Dry,Zebra,6,0.28,0
evt_12abf638,ZONE_D02,-1.77204,34.84363,20.9,59.6,6.6,40,15980.6,5759.6,30732.8,1399.2,0,1,Short Dry,Zebra,1,0.29,0
evt_8b786e38,ZONE_D02,-1.77772,34.72691,16.6,57.9,0.1,27,3120.2,8492.3,39140.3,1314.2,1,1,Short Dry,Rhino,1,0.36,1
evt_4f5ae722,ZONE_E02,-1.61964,34.73669,18.3,63.0,0.0,34,4089.5,21253.9,51431.6,1343.7,2,1,Short Dry,Buffalo,7,0.31,1
evt_5688d48d,ZONE_C02,-1.90811,34.85022,20.1,54.1,0.0,34,16694.2,13253.8,19531.1,1493.4,4,1,Short Dry,Buffalo,6,0.4,0
evt_09198e9e,ZONE_C02,-2.01833,34.87799,21.4,57.9,0.0,33,19799.7,25778.2,13711.2,1493.1,5,1,Short Dry,Buffalo,6,0.13,0
evt_dca4a778,ZONE_B02,-2.25128,34.83025,18.9,64.4,0.0,31,5433.6,30618.8,30461.7,1370.7,5,1,Short Dry,Zebra,22,0.22,0
evt_e7c0d5e2,ZONE_D02,-1.80093,34.78557,21.0,60.1,0.0,61,9527.5,1607.4,32525.5,1340.2,5,1,Short Dry,Lion,1,0.24,0
evt_4348eda8,ZONE_D02,-1.77227,34.83666,20.5,57.4,0.0,45,15208.2,5109.8,31157.3,1383.9,6,1,Short Dry,Zebra,1,0.29,0
evt_89017191,ZONE_B03,-2.26249,34.90022,19.0,50.7,0.0,28,4262.8,34025.6,31222.7,1360.8,7,1,Short Dry,Zebra,3,0.14,0
evt_da7a6551,ZONE_D02,-1.81716,34.82288,25.0,45.5,0.0,52,13696.8,3179.5,28298.1,1411.4,9,1,Short Dry,Buffalo,1,0.29,0
evt_8677588f,ZONE_A05,-2.48785,35.46988,23.1,54.6,0.0,30,20915.3,43857.6,75288.0,1298.4,9,1,Short Dry,Zebra,7,0.25,0
evt_41b864a7,ZONE_D02,-1.8084,34.81426,25.3,50.1,0.0,65,12701.2,1839.7,29664.4,1375.6,9,1,Short Dry,Elephant,1,0.36,0
evt_71937b14,ZONE_A01,-2.42457,34.66622,28.0,47.4,0.0,30,3816.1,36832.3,7847.1,1324.2,10,1,Short Dry,Elephant,18,0.17,0
evt_8040dfe1,ZONE_D03,-1.89234,34.96163,27.2,49.4,0.0,36,29080.9,20690.9,12707.8,1448.0,10,1,Short Dry,Lion,1,0.17,0
evt_be0df7bd,ZONE_D03,-1.89051,34.95959,26.2,45.4,0.0,31,28850.5,20392.4,12976.8,1491.3,10,1,Short Dry,Lion,1,0.13,0
evt_358b9228,ZONE_A03,-2.36762,35.07208,27.2,41.1,0.0,32,7519.6,23439.5,41655.0,1296.5,11,1,Short Dry,Zebra,6,0.16,0
evt_02a487d4,ZONE_D02,-1.78291,34.89381,29.0,37.5,0.0,32,21542.3,10597.7,26869.5,1424.1,13,1,Short Dry,Buffalo,1,0.21,0
evt_ae6db739,ZONE_D02,-1.84492,34.8246,29.3,43.0,0.0,43,13849.1,5694.0,26025.7,1456.6,13,1,Short Dry,Zebra,1,0.14,0
evt_fdf24e85,ZONE_E05,-1.67746,35.4498,30.4,41.8,0.0,31,69230.8,64394.6,10238.7,1287.2,14,1,Short Dry,Zebra,14,0.21,0
evt_cae44ecb,ZONE_D03,-1.88658,34.91824,29.2,38.0,0.0,36,24254.7,16290.7,15543.3,1486.9,15,1,Short Dry,Buffalo,1,0.13,0
evt_3410523f,ZONE_E01,-1.63394,34.54522,28.2,45.8,0.0,31,17232.4,33806.3,64896.3,1277.8,16,1,Short Dry,Lion,0,0.21,0
evt_fc2ec47a,ZONE_D02,-1.8054,34.87636,23.2,47.6,,41,19600.2,8507.3,25632.9,1435.4,19,1,Short Dry,Buffalo,1,0.27,0
evt_adda176b,ZONE_B04,-2.12326,35.24958,21.1,54.2,9.0,35,19662.1,10156.8,30935.8,1423.8,22,1,Short Dry,Buffalo,1,0.32,0
evt_555ddc5a,ZONE_C03,-1.98622,35.01394,21.8,55.4,0.0,31,34889.4,31504.9,2178.7,1580.5,22,1,Short Dry,Zebra,3,0.32,0
evt_17ae922d,ZONE_C03,-1.98907,34.97578,22.1,53.5,0.0,30,30647.1,28698.4,2953.3,1558.3,22,1,Short Dry,Zebra,3,0.37,0
evt_f4c9cebb,ZONE_D02,-1.79974,34.80235,21.1,57.4,0.0,87,11397.2,262.7,31278.8,1406.6,23,1,Short Dry,Zebra,1,0.55,0
evt_0663de6a,ZONE_E05,-1.55523,35.34965,19.9,57.0,0.0,39,72213.9,66880.1,7490.1,1351.7,23,1,Short Dry,Zebra,14,0.44,0
evt_42a53faf,ZONE_A03,-2.33283,35.06105,20.4,51.0,6.3,28,3816.3,21365.9,37625.1,1381.1,23,1,Short Dry,Rhino,6,0.36,1
evt_9fede94e,ZONE_B04,-2.2832,35.12472,18.8,59.5,0.0,29,2065.3,12472.2,34405.3,1346.3,0,1,Short Dry,Buffalo,1,0.47,1
evt_2656c703,ZONE_C03,-1.98338,34.96258,17.7,63.8,0.0,34,29188.2,27244.3,4550.8,1617.8,0,1,Short Dry,Zebra,3,0.28,0
evt_547ca49c,ZONE_A04,-2.3259,35.14464,19.8,60.9,0.0,33,3027.6,15290.6,39642.1,1339.6,0,1,Short Dry,Buffalo,0,0.32,1
evt_fb08cbea,ZONE_E01,-1.53203,34.58841,17.7,60.2,0.0,39,12442.4,37960.2,69284.8,1260.7,1,1,Short Dry,Elephant,0,0.41,0
evt_7a85fc51,ZONE_C03,-1.91004,34.98005,18.0,57.8,0.0,40,31123.1,23454.6,10245.5,1548.0,3,1,Short Dry,Elephant,3,0.35,0
evt_9148a605,ZONE_D02,-1.72555,34.84389,18.5,62.0,0.0,32,15993.2,9609.0,35104.5,1369.1,3,1,Short Dry,Lion,1,0.29,0
evt_4c652612,ZONE_B04,-2.28984,35.10248,19.7,60.6,0.0,27,1566.1,14738.2,34181.7,1400.4,3,1,Short Dry,Zebra,1,0.42,1
evt_5164b750,ZONE_D03,-1.86336,35.05482,19.4,61.8,0.0,31,39435.3,29182.8,16369.8,1489.6,4,1,Short Dry,Zebra,1,0.34,0
evt_1895e36f,ZONE_B03,-2.28999,34.99146,23.5,47.3,0.0,19,1127.9,25239.6,32259.8,1406.9,8,1,Short Dry,Zebra,3,0.28,1
evt_be7fc4ec,ZONE_B04,-2.10346,35.12209,24.9,50.1,0.0,37,21881.9,13791.1,17787.5,1511.4,8,1,Short Dry,Zebra,1,0.16,0
evt_01de3131,ZONE_E01,-1.55048,34.64707,25.2,46.8,0.0,33,5980.3,32538.0,63537.5,1287.8,9,1,Short Dry,Zebra,0,0.12,0
evt_48ed0965,ZONE_C02,-2.00788,34.75824,27.7,40.5,0.0,35,6477.6,20350.4,26879.9,1419.5,10,1,Short Dry,Buffalo,6,0.23,0
evt_1e86bd99,ZONE_A04,-2.37616,35.1603,26.9,46.0,0.0,39,8506.4,20078.5,45461.2,1316.4,10,1,Short Dry,Lion,0,0.26,0
evt_e287b27c,ZONE_C03,-2.00615,34.99623,26.1,43.4,0.0,38,32683.0,31262.2,801.3,1615.3,11,1,Short Dry,Zebra,3,0.14,0
evt_6ec15f52,ZONE_C03,-2.08821,35.07499,30.7,42.5,0.0,34,23553.7,18640.4,12870.5,1505.6,12,1,Short Dry,Buffalo,3,0.17,0
